,V1,V2,V3
343,1399/12/15,315,2
344,1399/12/16,244,0
345,1399/12/17,230,4
346,1399/12/18,310,3
347,1399/12/19,352,5
348,1399/12/20,291,4
349,1399/12/21,416,3
350,1399/12/22,296,4
351,1399/12/23,177,3
352,1399/12/24,320,1
353,1399/12/25,327,10
354,1399/12/26,678,4
355,1399/12/27,344,3
356,1399/12/28,558,1
357,1399/12/29,528,1
358,1399/12/30,317,3
359,1400/01/01,304,0
360,1400/01/02,346,0
361,1400/01/03,374,6
362,1400/01/04,413,4
363,1400/01/05,601,4
364,1400/01/06,668,6
365,1400/01/07,707,5
366,1400/01/08,859,5
367,1400/01/09,1014,1
368,1400/01/10,1385,7
369,1400/01/11,1158,6
370,1400/01/12,1357,1
371,1400/01/13,1418,10
372,1400/01/14,1184,3
373,1400/01/15,1281,6
374,1400/01/16,1544,9
375,1400/01/17,2073,10
376,1400/01/18,1785,7
377,1400/01/19,2061,9
378,1400/01/20,2660,15
379,1400/01/21,1164,6
380,1400/01/22,2434,17
381,1400/01/23,1937,12
382,1400/01/24,2255,14
383,1400/01/25,2416,17
384,1400/01/26,2166,16
385,1400/01/27,2046,14
386,1400/01/28,1872,18
387,1400/01/29,1632,19
388,1400/01/30,2127,26
389,1400/01/31,2326,27
390,1400/02/01,2237,28
391,1400/02/02,1686,29
392,1400/02/03,2099,21
393,1400/02/04,813,17
394,1400/02/05,1680,25
395,1400/02/06,2082,22
396,1400/02/07,1603,30
397,1400/02/08,1884,27
398,1400/02/09,1721,18
399,1400/02/10,1480,22
400,1400/02/11,766,27
401,1400/02/12,1241,17
402,1400/02/13,1342,20
403,1400/02/14,1266,23
404,1400/02/15,769,18
405,1400/02/16,1197,14
406,1400/02/17,1207,15
407,1400/02/18,324,18
408,1400/02/19,1094,15
409,1400/02/20,1091,14
410,1400/02/21,1010,14
411,1400/02/22,1030,18
412,1400/02/23,918,16
413,1400/02/24,418,26
414,1400/02/25,411,16
415,1400/02/26,803,15
416,1400/02/27,981,20
417,1400/02/28,793,31
418,1400/02/29,510,11
419,1400/02/30,739,10
420,1400/02/31,690,14
421,1400/03/01,447,12
422,1400/03/02,404,14
423,1400/03/03,587,13
424,1400/03/04,716,5
425,1400/03/05,558,8
426,1400/03/06,497,13
427,1400/03/07,617,8
428,1400/03/08,378,14
429,1400/03/09,367,9
430,1400/03/10,492,15
431,1400/03/11,549,11
432,1400/03/12,475,11
